student_id,age,gender,department,semester,attendance_pct,assignment_avg,assignment_completion_pct,quiz_avg,quiz_attempts,study_hours_week,participation_score,lms_login_count,lms_active_days,resources_accessed,video_completion_pct,previous_gpa,previous_failures,late_assignments,discussion_participation,support_requested,midterm_score,final_score,performance_level,risk_level
STU100013,18,Female,CSE,7,87.4,67.5,68.5,70.5,10,14.1,66.7,26,17.0,44,72.0,6.63,1,4,12.0,No,70.9,67.3,Good,Low
STU100014,18,Male,CSE,6,90.3,76.6,82.6,65.0,9,13.7,64.2,29,18.0,53,67.3,7.36,1,2,8.0,No,77.0,77.9,Good,Low
STU100015,22,Male,AI&DS,7,74.8,68.2,71.2,54.6,10,17.0,59.9,20,14.0,46,49.8,7.19,0,2,14.0,No,61.1,65.1,Good,Low
STU100016,24,Female,AI&DS,8,65.2,62.0,83.2,70.9,10,13.0,79.6,35,24.0,30,54.9,5.96,4,0,12.0,No,71.1,66.2,Good,Low
STU100017,20,Male,AI&DS,8,71.9,64.6,76.8,68.8,14,17.6,61.3,31,23.0,47,75.5,7.52,0,3,8.0,No,68.6,71.3,Good,Low
STU100018,21,Male,ECE,7,66.8,54.0,67.3,53.6,14,8.1,59.5,32,18.0,45,58.4,6.03,2,2,9.0,No,57.8,49.3,Poor,High
STU100019,24,Male,AI&DS,3,78.8,65.7,78.9,71.3,13,20.5,73.3,31,21.0,53,82.2,6.27,1,0,14.0,Yes,56.2,72.1,Good,Low
STU100020,19,Female,EEE,7,69.6,62.1,74.7,51.0,9,18.6,62.7,33,15.0,36,,6.85,0,3,8.0,Yes,63.7,59.8,Average,Medium
STU100021,21,Male,AI&DS,6,83.5,47.6,87.6,53.6,14,16.4,60.4,34,19.0,28,70.4,6.16,1,2,14.0,Yes,64.9,64.6,Average,Medium
STU100022,18,Female,CSE,3,63.2,54.6,57.4,38.3,6,11.8,27.6,25,10.0,22,50.4,5.27,2,3,5.0,No,58.6,37.2,Poor,High
STU100023,19,Male,AI&DS,6,87.6,78.7,75.8,71.1,15,17.3,80.5,29,16.0,45,75.3,6.82,3,4,8.0,Yes,67.4,74.6,Good,Low
STU100024,20,Female,EEE,3,74.2,63.2,77.8,43.0,13,14.5,48.3,18,19.0,23,73.0,5.99,1,1,5.0,No,44.8,63.2,Average,Medium
STU100025,22,Female,EEE,7,65.5,64.4,45.2,60.9,9,6.6,42.6,18,10.0,36,58.6,5.05,1,1,8.0,Yes,65.2,42.7,Poor,High
STU100026,20,Female,CIVIL,6,79.6,71.4,59.8,51.2,9,10.6,53.8,31,19.0,25,57.3,6.1,1,1,8.0,No,74.1,55.9,Average,Medium
STU100027,21,Female,AI&DS,6,97.5,73.3,90.1,75.0,16,16.3,72.8,40,15.0,52,74.9,7.86,1,2,14.0,Yes,83.0,82.3,Excellent,Low
STU100028,20,Female,EEE,3,75.1,61.7,73.7,58.0,14,12.0,100.0,28,18.0,41,72.8,6.93,0,0,11.0,No,60.1,66.5,Good,Low
STU100029,18,Female,ECE,3,88.4,79.8,80.9,67.8,15,20.4,68.7,35,24.0,49,65.3,6.1,1,1,10.0,No,65.8,85.9,Excellent,Low
STU100030,23,Male,CIVIL,5,75.4,74.2,71.0,51.7,17,15.6,65.8,28,18.0,42,77.8,6.31,0,4,7.0,No,62.5,54.9,Average,Medium
STU100031,22,Female,MECH,4,93.2,90.0,100.0,77.5,15,25.5,74.2,40,28.0,54,78.6,10.0,0,1,16.0,No,98.5,86.5,Excellent,Low
STU100032,22,Male,CSE,7,73.1,55.6,67.8,51.3,10,14.7,61.9,19,16.0,34,62.8,6.37,1,2,9.0,Yes,58.9,68.5,Good,Low
STU100033,22,Male,IT,8,86.7,62.7,54.5,57.7,13,7.8,73.8,22,16.0,30,68.9,6.3,1,3,15.0,No,77.4,61.1,Average,Medium
STU100034,18,Male,AI&DS,6,73.9,57.0,78.4,40.1,14,16.8,65.0,19,19.0,33,52.8,5.91,1,2,5.0,Yes,45.6,59.3,Average,Medium
STU100035,21,Male,IT,7,72.8,64.2,85.1,81.0,18,13.6,91.9,31,20.0,26,74.1,5.98,3,2,9.0,No,79.1,70.8,Good,Low
STU100036,22,Male,AI&DS,8,69.3,76.5,75.3,67.2,10,20.2,50.6,27,14.0,31,73.8,6.5,1,1,10.0,No,65.3,81.7,Excellent,Low
STU100037,21,Female,ECE,7,66.1,52.8,68.0,57.4,9,16.9,39.8,29,20.0,39,59.8,5.78,0,3,6.0,Yes,64.5,58.7,Average,Medium
STU100038,23,Female,EEE,4,70.3,61.6,57.6,34.3,7,15.3,51.6,14,16.0,21,44.8,5.4,3,4,8.0,Yes,57.4,38.6,Poor,High
STU100039,20,Male,CSE,3,63.8,56.7,59.7,54.2,10,13.9,62.2,25,19.0,39,66.7,5.23,1,2,8.0,Yes,55.9,50.9,Average,Medium
STU100040,21,Male,MECH,3,96.3,72.7,80.9,80.1,16,17.9,84.5,38,22.0,42,91.8,7.1,2,1,13.0,No,89.1,80.0,Excellent,Low
STU100041,20,Female,CSE,4,68.3,67.2,58.7,57.7,12,13.7,48.2,15,5.0,29,37.3,7.93,0,5,9.0,No,71.1,52.7,Average,Medium
STU100042,24,Female,CSE,3,79.9,61.7,76.1,60.0,13,21.3,64.4,30,16.0,41,68.0,7.94,0,2,9.0,No,69.9,69.1,Good,Low
STU100043,19,Female,AI&DS,6,60.0,48.2,73.2,52.0,9,11.9,65.1,16,15.0,29,67.1,5.67,1,3,12.0,Yes,55.9,52.6,Average,Medium
STU100044,19,Male,IT,8,84.3,79.4,89.9,54.1,6,12.4,51.6,17,9.0,30,57.9,6.67,1,0,1.0,Yes,64.3,58.9,Average,Medium
STU100045,22,Female,IT,3,72.4,63.1,70.1,50.9,11,14.7,65.7,20,13.0,29,71.3,6.95,0,3,4.0,No,55.6,57.1,Average,Medium
STU100046,18,Male,ECE,5,85.4,53.7,75.0,66.2,11,17.2,57.6,30,19.0,41,63.8,6.94,1,3,12.0,No,63.7,68.7,Good,Low
STU100047,21,Female,ECE,8,62.3,76.4,42.2,72.2,6,17.8,27.2,18,6.0,3,44.6,7.43,1,2,9.0,Yes,59.5,43.8,Poor,High
STU100048,18,Male,CSE,8,73.2,55.2,59.6,58.8,12,9.3,53.0,27,10.0,28,48.0,7.22,0,3,7.0,No,63.7,63.0,Average,Medium
STU100049,21,Male,ECE,2,82.6,77.7,96.8,61.1,17,19.7,84.7,34,20.0,43,91.3,7.72,0,1,16.0,No,80.6,74.2,Good,Low
STU100050,20,Female,IT,4,85.4,75.0,70.5,52.5,12,15.1,57.6,30,18.0,26,48.1,7.26,1,0,15.0,No,62.8,66.2,Good,Low
STU100051,19,Female,CIVIL,4,83.6,64.6,71.9,85.2,15,12.8,82.0,23,23.0,41,53.7,6.9,2,0,14.0,No,78.5,69.9,Good,Low
STU100052,21,Male,MECH,4,88.8,80.7,100.0,64.3,17,13.0,72.7,29,19.0,43,91.7,7.72,1,3,7.0,No,74.1,66.8,Good,Low
STU100053,20,Male,AI&DS,8,69.0,58.1,79.8,49.2,14,15.0,69.0,20,19.0,19,58.3,4.0,2,5,10.0,No,55.8,56.2,Average,Medium
STU100054,18,Female,CIVIL,7,87.3,73.4,76.9,42.5,15,17.4,81.6,26,17.0,48,61.2,6.41,1,5,7.0,Yes,,56.8,Average,Medium
STU100055,21,Male,IT,2,82.9,62.8,64.1,47.0,10,,42.1,32,15.0,21,66.8,6.61,1,2,8.0,Yes,65.5,66.3,Good,Low
STU100056,21,Female,IT,6,69.2,53.6,70.3,62.8,13,7.5,64.8,24,18.0,40,43.5,5.33,2,4,8.0,No,46.9,55.5,Average,Medium
STU100057,22,Male,EEE,6,60.4,39.6,71.7,47.1,8,9.7,67.4,25,19.0,29,53.4,7.1,1,3,6.0,No,55.9,50.3,Average,Medium
STU100058,24,Male,CSE,5,88.1,71.2,97.7,70.7,18,17.1,77.2,37,20.0,61,88.5,6.55,1,1,17.0,No,68.1,88.0,Excellent,Low
STU100059,22,Male,IT,7,58.5,51.5,65.1,57.3,13,15.8,86.5,32,19.0,43,69.7,4.63,0,5,8.0,Yes,53.3,46.8,Poor,High
STU100060,23,Female,EEE,5,89.4,81.2,66.4,67.0,16,18.5,88.7,35,24.0,32,46.0,7.51,0,1,18.0,No,69.3,74.8,Good,Low
STU100061,22,Male,CSE,6,61.0,52.9,49.0,45.7,5,6.2,41.3,15,6.0,12,40.5,4.0,1,4,6.0,Yes,48.0,47.7,Poor,High
STU100062,22,Male,CSE,5,68.9,52.3,74.7,47.7,8,13.1,54.7,21,8.0,20,45.2,6.32,1,2,6.0,Yes,67.5,54.9,Average,Medium
STU100063,23,Female,EEE,8,65.7,76.7,93.1,63.3,15,16.7,61.4,28,15.0,65,93.8,7.59,0,1,10.0,Yes,62.4,78.2,Good,Low
STU100064,22,Male,CIVIL,7,82.6,64.1,76.8,72.8,16,17.6,66.0,27,13.0,52,83.1,7.12,1,4,15.0,Yes,62.7,65.5,Good,Low
STU100065,21,Female,IT,2,68.0,63.1,70.3,63.6,11,20.1,75.2,28,16.0,55,66.3,6.77,0,5,6.0,No,69.6,60.8,Average,Medium
STU100066,23,Male,IT,3,65.8,60.1,82.4,55.0,15,19.9,61.2,26,18.0,27,45.6,7.97,0,0,11.0,No,65.5,70.9,Good,Low
STU100067,24,Female,EEE,4,78.6,64.2,65.4,52.9,15,16.8,68.7,16,15.0,37,65.6,4.85,2,3,11.0,No,67.8,49.7,Poor,High
STU100068,21,Male,IT,2,75.0,52.8,59.2,43.1,10,8.8,60.8,13,11.0,19,38.6,6.47,1,3,11.0,No,61.9,69.3,Good,Low
STU100069,19,Female,CSE,2,82.3,84.2,81.6,65.5,17,14.0,85.6,34,19.0,59,80.6,7.35,0,0,11.0,No,79.9,75.6,Good,Low
STU100070,20,Female,CSE,2,82.1,54.1,70.5,,13,9.3,75.0,33,21.0,46,74.6,5.43,1,2,16.0,No,67.7,64.9,Average,Medium
STU100071,18,Female,CSE,8,77.3,58.2,79.8,50.1,10,11.6,63.2,19,20.0,33,64.3,,2,3,15.0,No,53.8,56.3,Average,Medium
STU100072,20,Female,CIVIL,5,65.9,45.3,76.4,57.4,11,9.7,65.6,26,17.0,25,67.6,5.59,1,2,11.0,Yes,47.9,44.7,Poor,High
STU100073,24,Male,IT,7,65.7,63.7,60.5,39.5,11,13.0,50.4,34,16.0,27,74.1,5.95,1,4,8.0,Yes,49.9,48.0,Poor,High
STU100074,18,Male,CIVIL,7,92.2,72.3,80.0,65.0,16,18.2,65.8,35,18.0,43,55.0,8.22,1,2,14.0,No,65.2,60.2,Average,Medium
STU100075,24,Male,IT,3,80.3,69.9,100.0,78.4,14,15.5,86.1,29,24.0,45,71.2,6.57,0,0,14.0,No,70.9,75.1,Good,Low
STU100076,21,Female,EEE,6,80.9,67.0,60.0,67.6,9,17.7,53.6,25,14.0,28,63.5,7.01,2,2,13.0,No,64.8,71.3,Good,Low
STU100077,20,Male,CIVIL,6,65.9,55.1,49.9,63.4,9,,58.5,24,,38,50.4,5.82,1,3,12.0,No,74.0,52.5,Average,Medium
STU100078,21,Female,AI&DS,8,,67.0,58.2,64.0,10,8.0,66.4,29,20.0,44,75.7,6.29,1,4,10.0,No,74.3,56.8,Average,Medium
STU100079,24,Female,CIVIL,8,76.2,82.4,72.7,74.8,12,11.9,65.2,33,18.0,37,56.5,8.37,1,0,13.0,No,74.4,79.7,Good,Low
STU100080,18,Male,MECH,6,78.6,54.0,87.6,60.5,17,15.9,89.6,40,21.0,49,81.9,7.01,1,5,10.0,No,78.8,70.1,Good,Low
STU100081,21,Male,ECE,6,78.4,64.6,68.9,49.8,5,20.1,68.2,21,16.0,41,59.9,6.05,0,2,5.0,Yes,59.7,70.0,Good,Low
STU100082,19,Female,CSE,5,58.4,53.9,64.7,56.0,10,16.9,52.3,23,13.0,25,60.3,6.16,1,3,6.0,Yes,50.5,64.8,Average,Medium
STU100083,21,Male,AI&DS,6,75.4,51.5,74.7,61.9,17,13.2,85.4,27,19.0,45,72.1,5.96,1,0,9.0,No,76.5,60.0,Average,Medium
STU100084,23,Male,IT,6,60.4,,45.0,53.0,10,14.2,55.7,17,5.0,18,59.1,6.37,2,3,9.0,Yes,66.3,46.9,Poor,High
STU100085,24,Male,EEE,8,78.3,47.1,78.7,37.9,11,6.1,60.6,29,11.0,39,45.2,4.0,1,1,10.0,No,59.0,44.9,Poor,High
STU100086,19,Female,ECE,8,64.1,64.4,69.3,78.4,12,19.2,64.3,21,16.0,31,68.2,5.96,0,4,11.0,No,71.5,53.9,Average,Medium
STU100087,22,Female,IT,3,78.2,72.4,77.4,64.2,16,14.6,76.2,33,19.0,43,52.5,6.06,0,1,11.0,No,75.6,76.2,Good,Low
STU100088,20,Male,AI&DS,2,82.7,73.7,84.5,55.4,15,16.8,66.5,22,19.0,38,47.7,7.07,1,2,14.0,No,70.1,71.4,Good,Low
STU100089,21,Male,AI&DS,3,86.8,64.7,93.6,78.4,14,9.8,75.4,27,16.0,33,59.6,6.95,1,0,16.0,Yes,84.6,65.4,Good,Low
STU100090,19,Female,CIVIL,5,72.0,73.0,67.3,75.5,13,15.5,73.0,21,15.0,33,82.2,6.21,0,1,10.0,No,85.9,65.8,Good,Low
STU100091,23,Male,AI&DS,3,83.4,,78.6,67.6,13,22.5,88.7,30,12.0,62,95.1,7.51,1,2,15.0,No,82.7,67.6,Good,Low
STU100092,19,Female,ECE,4,71.5,60.6,71.0,57.0,17,13.4,74.3,27,22.0,40,83.2,6.33,0,1,13.0,No,70.9,62.2,Average,Medium
STU100093,18,Female,MECH,5,87.4,65.0,76.6,61.0,14,13.2,79.1,22,21.0,27,60.8,6.03,1,2,9.0,No,59.2,51.4,Average,Medium
STU100094,23,Female,ECE,8,68.9,79.7,65.8,57.1,12,12.3,52.5,16,20.0,27,72.4,5.96,2,2,8.0,No,71.4,54.7,Average,Medium
STU100095,20,Female,AI&DS,5,43.7,47.6,43.2,62.9,7,5.7,40.5,9,5.0,25,24.5,6.05,2,4,2.0,Yes,47.6,40.0,Poor,High
STU100096,18,Female,CSE,3,55.5,32.7,50.0,33.5,10,7.5,53.3,10,6.0,23,22.8,5.12,3,6,7.0,Yes,32.7,34.1,Poor,High
STU100097,22,Female,IT,4,73.5,55.3,69.1,59.2,11,5.3,44.2,19,15.0,21,49.9,6.11,2,4,10.0,No,58.6,43.2,Poor,High
STU100098,19,Female,ECE,2,65.5,64.8,82.7,44.1,13,12.9,58.1,27,17.0,23,54.6,5.52,2,4,5.0,Yes,50.5,49.8,Poor,High
STU100099,24,Male,CIVIL,2,83.7,73.9,64.8,61.5,13,17.7,69.1,28,16.0,34,69.5,5.83,0,4,6.0,Yes,74.9,58.0,Average,Medium
STU100100,24,Female,EEE,6,82.3,49.5,90.2,46.7,16,10.7,85.1,32,20.0,37,66.8,6.02,1,3,11.0,No,71.4,61.8,Average,Medium
STU100101,21,Female,CSE,3,68.3,62.0,64.9,59.6,15,14.0,66.7,26,20.0,30,64.9,6.62,1,3,13.0,No,59.6,59.1,Average,Medium
STU100102,21,Male,AI&DS,6,,78.5,85.6,64.9,14,17.7,81.1,33,16.0,31,91.4,6.81,2,0,14.0,Yes,75.4,66.9,Good,Low
STU100103,21,Female,ECE,2,63.1,73.5,72.1,50.8,11,13.3,44.9,22,14.0,28,49.4,6.96,2,2,9.0,No,51.1,57.1,Average,Medium
STU100104,22,Male,MECH,4,79.8,75.4,80.8,59.1,14,18.1,74.1,29,24.0,42,71.7,6.98,0,3,10.0,No,76.8,68.7,Good,Low
STU100105,24,Male,EEE,6,67.1,68.0,75.5,31.6,13,12.0,56.6,27,13.0,32,60.3,6.56,3,2,5.0,No,65.8,70.0,Good,Low
STU100106,22,Male,EEE,5,82.3,57.4,61.9,51.1,7,16.2,50.2,17,17.0,26,46.3,6.58,1,1,8.0,No,58.1,55.4,Average,Medium
STU100107,18,Male,MECH,6,79.3,53.9,68.4,63.0,11,13.0,72.5,24,15.0,43,81.6,5.29,1,4,7.0,No,65.3,63.9,Average,Medium
STU100108,19,Male,AI&DS,6,64.2,56.6,70.5,60.6,12,15.4,91.0,30,13.0,40,72.5,5.97,1,4,11.0,No,57.4,66.6,Good,Low
STU100109,22,Female,IT,4,71.9,82.1,86.7,60.9,15,17.7,54.4,14,13.0,33,50.7,8.46,0,0,10.0,No,66.8,72.7,Good,Low
STU100110,20,Female,ECE,4,70.6,56.8,59.5,62.9,7,10.1,47.5,14,6.0,13,39.0,5.55,1,3,1.0,No,62.5,54.3,Average,Medium
STU100111,21,Female,MECH,4,76.8,72.6,79.2,42.8,13,17.4,82.7,26,19.0,22,47.5,7.18,2,3,11.0,Yes,60.3,61.1,Average,Medium
STU100112,20,Female,CSE,4,78.6,68.0,75.0,66.2,10,14.3,93.5,26,22.0,39,74.0,7.4,2,1,8.0,No,74.9,63.9,Average,Medium
STU100113,22,Male,AI&DS,7,76.0,61.9,71.0,44.0,14,13.5,55.3,24,10.0,23,48.3,6.67,1,3,10.0,No,62.7,36.4,Poor,High
STU100114,19,Female,MECH,2,71.9,38.7,55.1,42.7,7,6.7,51.0,13,13.0,12,30.2,6.04,3,4,9.0,Yes,48.7,41.6,Poor,High
STU100115,18,Male,AI&DS,5,57.2,57.5,53.5,54.9,15,6.2,52.6,23,18.0,47,52.4,7.73,1,3,9.0,Yes,69.0,48.6,Poor,High
STU100116,19,Female,IT,7,55.5,56.0,63.0,46.7,8,12.3,49.8,26,12.0,26,69.4,7.03,2,2,8.0,No,57.1,51.8,Average,Medium
STU100117,22,Male,MECH,4,75.8,66.0,66.3,65.6,11,11.5,54.4,28,17.0,43,66.8,8.15,1,0,9.0,No,74.2,60.7,Average,Medium
STU100118,22,Male,MECH,4,61.4,56.7,61.4,55.3,11,18.7,50.2,23,13.0,19,54.9,6.35,2,1,7.0,Yes,78.5,50.8,Average,Medium
STU100119,23,Male,AI&DS,6,78.3,71.4,80.6,66.4,9,14.7,77.8,27,16.0,41,64.8,7.67,1,2,12.0,Yes,80.8,54.6,Average,Medium
STU100120,18,Female,IT,6,66.6,46.1,53.1,46.6,13,14.1,56.4,34,15.0,46,82.9,7.71,0,1,11.0,Yes,68.2,54.2,Average,Medium
STU100121,18,Male,IT,5,52.5,53.5,51.6,56.2,8,6.7,48.2,18,11.0,47,46.9,5.92,3,5,11.0,Yes,50.2,41.0,Poor,High
STU100122,18,Male,AI&DS,4,99.5,57.7,99.9,61.4,19,15.2,79.4,25,16.0,29,73.9,6.57,1,3,8.0,Yes,60.3,58.5,Average,Medium
STU100123,21,Female,ECE,2,75.9,74.2,57.8,49.3,15,10.6,47.3,16,13.0,36,71.2,6.47,0,4,11.0,No,54.9,55.3,Average,Medium
STU100124,22,Male,IT,3,62.9,74.6,54.2,56.4,14,11.0,63.3,20,13.0,28,60.3,8.14,0,2,10.0,Yes,71.0,59.9,Average,Medium
STU100125,19,Female,CSE,5,81.9,79.2,81.5,73.9,20,16.7,56.5,38,24.0,38,82.2,6.91,0,4,15.0,No,74.0,56.6,Average,Medium
STU100126,21,Female,AI&DS,6,78.8,60.4,58.1,56.7,9,13.2,52.8,24,8.0,32,53.5,6.36,1,0,7.0,No,66.4,70.8,Good,Low
STU100127,18,Male,IT,3,81.7,93.9,83.4,79.3,18,20.1,69.1,34,22.0,56,75.1,8.04,0,0,10.0,No,72.5,82.5,Excellent,Low
STU100128,22,Male,ECE,4,94.2,72.9,88.4,72.9,11,15.5,62.4,39,22.0,41,80.2,5.69,1,0,7.0,Yes,79.4,72.6,Good,Low
STU100129,21,Male,IT,3,68.0,60.2,70.6,62.0,15,7.6,67.4,21,11.0,34,65.8,6.26,2,2,11.0,No,56.0,51.7,Average,Medium
STU100130,18,Female,AI&DS,3,48.6,54.2,46.7,47.7,9,12.6,46.9,22,12.0,36,52.4,5.19,1,3,8.0,Yes,45.3,34.5,Poor,High
STU100131,18,Female,ECE,8,56.6,58.6,50.4,38.2,7,8.6,51.7,17,11.0,35,56.2,5.8,1,1,7.0,Yes,53.7,49.0,Poor,High
STU100132,22,Male,ECE,8,62.4,56.7,50.7,59.1,9,7.7,71.1,27,12.0,24,14.0,5.96,0,1,8.0,Yes,55.6,58.4,Average,Medium
STU100133,24,Female,ECE,8,69.2,72.5,59.6,63.6,10,8.8,60.1,18,12.0,39,52.6,7.2,0,4,9.0,No,67.8,48.7,Poor,High
STU100134,23,Male,IT,8,59.2,43.5,74.0,76.8,9,6.6,35.2,24,15.0,25,50.8,7.57,0,3,2.0,Yes,53.8,61.0,Average,Medium
STU100135,21,Male,MECH,4,66.4,41.2,57.5,38.2,14,2.3,44.0,20,12.0,38,33.3,5.38,2,2,7.0,Yes,52.9,38.9,Poor,High
STU100136,21,Male,IT,7,70.0,55.9,61.9,38.7,9,8.7,72.2,36,14.0,34,46.8,5.55,1,4,11.0,No,63.4,47.2,Poor,High
STU100137,23,Female,AI&DS,3,71.0,72.6,69.1,73.1,9,14.1,57.5,23,13.0,29,54.8,5.84,0,1,14.0,No,72.1,78.6,Good,Low
STU100138,23,Male,IT,6,90.0,75.9,77.9,72.1,9,15.5,88.7,32,22.0,38,72.2,6.76,2,2,15.0,No,85.5,69.8,Good,Low
STU100139,24,Female,MECH,3,89.2,71.6,70.0,92.7,18,13.8,91.5,36,21.0,50,91.1,7.8,0,0,11.0,Yes,63.4,83.0,Excellent,Low
STU100140,20,Male,CSE,6,89.0,92.9,100.0,76.0,19,14.0,85.8,42,25.0,61,100.0,8.91,0,3,19.0,No,87.8,83.9,Excellent,Low
STU100141,21,Female,ECE,4,73.7,82.4,79.2,54.0,15,14.4,71.7,37,21.0,41,64.1,5.98,0,5,11.0,No,68.3,53.1,Average,Medium
STU100142,18,Female,AI&DS,4,76.5,37.4,80.6,42.4,13,13.8,61.4,34,17.0,41,57.7,5.77,2,1,10.0,Yes,53.8,45.6,Poor,High
STU100143,19,Male,AI&DS,2,70.4,49.7,59.2,15.0,8,8.0,60.7,9,10.0,20,51.4,4.8,2,6,4.0,No,51.1,40.1,Poor,High
STU100144,20,Male,IT,3,68.5,81.0,83.6,59.9,11,19.9,73.5,28,12.0,47,82.6,5.96,0,1,17.0,No,65.6,66.7,Good,Low
STU100145,23,Female,IT,5,70.6,65.4,57.2,31.0,10,11.8,62.5,15,16.0,1,51.3,5.72,1,3,4.0,Yes,60.7,49.1,Poor,High
STU100146,21,Male,CSE,6,60.1,54.2,55.0,55.5,8,11.0,47.7,24,15.0,29,64.3,5.67,1,1,7.0,Yes,43.5,53.2,Average,Medium
STU100147,22,Male,CSE,7,72.7,61.0,60.2,52.1,6,9.8,51.8,17,10.0,28,64.9,6.17,2,3,7.0,No,65.7,38.1,Poor,High
STU100148,24,Female,AI&DS,7,77.2,62.0,81.1,49.4,13,10.5,56.3,34,15.0,15,67.0,6.23,2,4,9.0,No,64.3,48.2,Poor,High
STU100149,21,Female,CIVIL,5,75.1,78.6,81.6,76.3,14,15.7,87.3,26,25.0,54,73.1,8.35,1,5,15.0,No,84.2,68.7,Good,Low
STU100150,20,Female,EEE,5,63.4,63.7,70.0,64.1,13,15.4,65.9,19,14.0,40,55.3,5.4,1,3,10.0,No,62.1,53.1,Average,Medium
STU100151,23,Male,EEE,5,75.9,61.2,67.3,70.7,5,14.8,61.9,26,19.0,41,64.6,7.28,1,1,12.0,No,61.1,58.8,Average,Medium
STU100152,20,Male,EEE,8,60.0,45.1,45.9,64.8,9,10.5,50.7,23,17.0,23,46.3,4.68,0,4,8.0,Yes,65.5,54.1,Average,Medium
STU100153,20,Female,IT,7,56.9,44.1,55.9,,8,13.9,58.2,12,10.0,27,64.9,5.61,3,1,7.0,Yes,45.6,41.0,Poor,High
STU100154,24,Female,AI&DS,4,88.4,75.0,74.6,60.9,18,14.7,98.7,36,16.0,39,82.9,5.27,2,0,14.0,Yes,79.8,60.2,Average,Medium
STU100155,21,Male,CSE,5,85.5,61.6,87.2,65.0,13,15.6,92.3,25,19.0,42,68.2,6.83,0,1,12.0,No,69.7,82.6,Excellent,Low
STU100156,19,Male,EEE,4,64.5,61.8,73.5,92.9,6,21.3,69.7,23,15.0,43,62.2,8.8,2,3,10.0,Yes,72.8,69.0,Good,Low
STU100157,23,Male,IT,5,57.6,90.2,75.2,47.7,10,10.0,50.7,24,15.0,39,44.8,6.43,0,2,12.0,No,79.3,67.2,Good,Low
STU100158,22,Male,MECH,4,51.0,65.7,65.6,60.5,9,18.7,46.8,16,10.0,33,47.3,7.81,1,2,4.0,No,65.2,48.1,Poor,High
STU100159,23,Female,IT,7,73.3,58.9,72.5,41.9,15,9.7,65.9,35,14.0,35,83.7,5.66,1,2,11.0,Yes,57.4,54.3,Average,Medium
STU100160,20,Male,IT,6,70.2,49.1,74.1,40.9,10,9.2,33.4,14,15.0,26,58.3,6.25,2,4,14.0,Yes,62.0,32.9,Poor,High
STU100161,23,Female,CSE,3,73.0,53.6,51.9,44.5,8,4.4,46.1,12,6.0,11,50.9,5.14,1,1,6.0,Yes,48.5,50.8,Average,Medium
STU100162,24,Male,MECH,2,79.5,52.1,71.5,47.8,13,12.7,79.8,26,20.0,26,76.1,5.4,1,1,14.0,Yes,64.7,68.0,Good,Low
STU100163,19,Male,IT,8,73.4,95.9,72.0,82.8,19,23.0,53.8,22,16.0,39,65.5,8.55,1,2,9.0,No,84.3,67.2,Good,Low
STU100164,19,Female,CSE,4,63.7,52.2,53.0,57.1,12,7.2,65.5,16,15.0,43,60.3,6.38,1,4,10.0,Yes,65.2,40.0,Poor,High
